"","ind.id","LH","LR"
"123","110",-0.1045,-0.1121
"124","111",-0.0515,-0.0541
"125","182",-0.0427,-0.0455
"126","183",0.0147,0.0158
"127","95",-0.4935,-0.4185
"128","96",-0.0879,-0.0927
"129","97",-0.0209,-0.0218
"130","99",-0.0567,-0.0571
"131","98",-0.1304,-0.1442
"132","133",-0.1785,-0.1776
"133","139",-0.1573,-0.1743
"134","140",-0.0165,-0.0178
"135","142",-0.1007,-0.1097
"136","176",-0.1504,-0.1675
"137","177",-0.5038,-0.4587
"138","368",-0.5475,-0.4834
"139","369",-0.3396,-0.334
"140","357",-0.0251,-0.0269
"141","370",0.1086,0.1125
"142","371",-0.4664,-0.4013
"143","372",-0.512,-0.4399
"144","104",-0.4789,-0.437
"145","103",-0.1513,-0.1496
"146","107",-0.438,-0.4082
"147","105",-0.2131,-0.2072
"148","101",-0.369,-0.3406
"149","100",-0.9166,-0.6317
"150","135",-0.1453,-0.1503
"151","136",-0.322,-0.3081
"152","137",0.0234,0.0249
"153","138",-0.4949,-0.4336
"154","184",-0.0315,-0.0323
"155","367",-0.0635,-0.0715
"156","365",-0.1446,-0.1583
"157","366",-0.2171,-0.2287
"158","374",-0.6878,-0.5481
"159","375",-0.0453,-0.0484
"160","376",0.034,0.0343
"161","377",-0.7911,-0.5962
"162","79",-0.0199,-0.0194
"163","78",-0.4283,-0.3866
"164","77",-0.5872,-0.5065
"165","150",-0.0418,-0.0444
"166","149",-0.4774,-0.4388
"167","163",-0.5811,-0.5006
"168","164",-0.0691,-0.0741
"169","148",-0.5301,-0.4416
"170","147",-0.8277,-0.6102
"171","160",0.1064,0.1165
"172","161",0.0471,0.0515
"173","162",-0.055,-0.061
"174","165",0.1751,0.187
"175","175",-0.9186,-0.6368
"176","174",-0.7202,-0.568
"177","166",-0.4801,-0.4261
"178","167",-0.3552,-0.3373
"179","168",0.012,0.0126
"180","169",-0.1988,-0.1944
"181","181",-0.02,-0.0211
"182","173",-0.6264,-0.4954
"183","290",-0.4577,-0.4083
"184","292",-0.5086,-0.4589
"185","172",-0.2649,-0.2502
"186","171",-0.8419,-0.6252
"187","170",-0.0206,-0.0224
"188","293",-0.2211,-0.2115
"189","333",-0.5519,-0.4719
"190","335",0.0532,0.06
"191","337",0.0062,0.0069
"192","323",-0.2316,-0.2337
"193","324",-0.3378,-0.3122
"194","327",-0.0895,-0.0928
"195","80",0.0381,0.0426
"196","85",-0.0519,-0.0558
"197","84",-0.0228,-0.0249
"198","83",-0.1294,-0.1403
"199","82",-0.2858,-0.2729
"200","81",0.0092,0.0103
"201","91",0.0661,0.0727
"202","92",-0.006,-0.0068
"203","93",0.0522,0.0557
"204","86",-0.1406,-0.1554
"205","87",-0.0801,-0.0922
"206","88",0.0215,0.0243
"207","89",-0.076,-0.0807
"208","90",-0.0269,-0.0302
"209","94",0.0227,0.0228
"210","128",-0.1861,-0.1843
"211","127",-0.1182,-0.1189
"212","132",0.0266,0.0278
"213","131",-0.3832,-0.3438
"214","130",0.0069,0.0072
"215","129",-0.2148,-0.2114
"216","143",-0.7674,-0.5979
"217","146",-0.5363,-0.4425
"218","179",-0.0109,-0.0118
"219","284",-0.3029,-0.2884
"220","282",-0.3537,-0.3249
"221","283",-0.3062,-0.2899
"222","315",-0.8275,-0.611
"223","317",-0.1574,-0.175
"224","319",-0.1426,-0.1496
"225","296",0.0345,0.0351
"226","297",-0.6628,-0.5484
"227","298",-0.0254,-0.028
"228","300",-0.8333,-0.6165
"229","303",-0.1088,-0.1048
"230","304",-0.5915,-0.4989
"231","314",-0.4385,-0.389
"232","320",-0.0838,-0.0865
"233","321",-0.0401,-0.0424
"234","322",-0.0206,-0.0224
"235","329",-0.7608,-0.5735
"236","330",-0.869,-0.6188
"237","332",-0.353,-0.3403
"238","339",0.0597,0.0598
"239","341",0.0306,0.0315
"240","342",-0.0704,-0.0721
"241","348",-0.2095,-0.2119
"242","349",-0.3925,-0.362
"243","351",-0.4155,-0.3917
